year	stage	size_mm
2016	III	1.437
2016	III	1.814
2016	II	1.031
2016	II	0.897
2016	III	1.81
2016	III	1.528
2016	III	1.814
2016	III	1.773
2016	III	1.568
2016	III	1.732
2016	II	0.994
2016	III	1.747
2016	III	1.258
2016	III	1.508
2016	III	1.461
2016	I	0.865
2016	III	1.785
2016	III	1.356
2016	III	1.833
2016	III	1.3
2016	III	1.572
2016	III	1.388
2016	III	1.919
2016	II	1.335
2016	III	1.694
2016	III	1.509
2016	III	1.743
2016	III	1.492
2016	III	1.563
2016	I	0.703
2016	II	1.175
2016	III	1.447
2016	III	1.602
2016	II	1.053
2016	III	1.495
2016	II	0.978
2016	II	0.9
2016	III	1.684
2016	I	0.778
2016	I	0.771
2016	III	1.99
2016	III	1.666
2016	III	1.677
2016	III	1.009
2016	III	1.589
2016	III	1.024
2016	II	0.923
2016	III	1.581
2016	III	1.33
2016	III	1.548
2016	II	1.07
2016	IV	4.068
2016	III	1.938
2016	III	1.34
2016	III	1.4
2016	III	1.591
2016	III	1.478
2016	III	1.841
2016	III	1.551
2016	I	0.671
2016	I	0.429
2016	I	0.712
2016	I	0.862
2016	II	1.023
2016	III	1.433
2016	III	1.612
2016	III	1.416
2016	III	1.679
2016	III	2.157
2016	III	2.241
2016	III	1.528
2016	III	1.655
2016	III	1.594
2016	III	1.668
2016	III	1.751
2016	III	1.801
2016	III	1.751
2016	II	1.119
2016	III	2.049
2016	III	1.68
2016	III	1.559
2016	III	1.471
2016	III	1.638
2016	III	1.477
2016	III	1.511
2016	III	1.597
2016	IV	2.989
2016	III	1.873
2016	III	1.506
2016	III	2.627
2016	III	1.683
2016	III	1.476
2016	III	1.76
2016	III	1.839
2016	III	1.553
2016	III	1.972
2016	II	1.056
2016	III	1.936
2016	III	1.914
2016	III	1.705
2016	III	1.665
2016	III	1.74
2016	III	1.473
2016	II	0.92
2016	IV	2.36
2016	IV	2.571
2016	III	1.46
2016	III	1.493
2016	III	1.673
2016	III	1.641
2016	III	1.573
2016	IV	2.197
2016	II	1.072
2016	III	1.606
2016	II	1.139
2016	III	1.605
2016	III	1.248
2016	III	1.544
2016	III	1.557
2016	IV	2.202
2016	III	2.027
2016	III	2.034
2016	III	1.552
2016	III	1.584
2016	III	1.774
2016	III	1.558
2016	III	1.835
2016	III	1.323
2016	III	1.541
2016	III	1.32
2016	III	1.4
2016	III	2.017
2016	III	1.568
2016	III	1.687
2016	III	1.547
2016	III	1.362
2016	III	1.588
2016	III	1.772
2016	III	1.818
2016	III	1.966
2016	III	2.162
2016	III	1.42
2016	III	1.286
2016	III	1.57
2016	III	1.45
2016	III	1.488
2016	III	1.895
2016	III	1.484
2016	III	1.937
2016	III	1.397
2016	III	1.436
2016	III	1.702
2016	III	1.469
2016	III	1.516
2016	III	1.681
2016	III	1.968
2016	III	2.198
2016	III	1.766
2016	III	1.321
2016	III	1.712
2016	III	1.738
2016	III	1.57
2016	III	1.85
2016	III	1.673
2016	III	1.728
2016	III	1.559
2016	III	1.728
2016	III	1.59
2016	III	1.549
2016	III	1.695
2016	III	1.777
2016	III	1.455
2016	III	1.766
2016	III	1.747
2016	III	1.636
2016	III	1.582
2016	III	1.364
2016	III	1.758
2016	III	1.833
2016	III	1.316
2016	III	1.399
2016	III	1.809
2016	III	1.647
2016	III	1.704
2016	III	2.127
2016	III	1.49
2016	III	1.734
2016	III	1.555
2016	III	1.476
2016	III	1.596
2016	III	1.473
2016	III	1.396
2016	III	1.385
2016	III	1.918
2016	III	1.403
2016	III	1.564
2016	III	1.542
2016	III	1.461
2016	III	1.573
2016	III	1.669
2016	III	1.496
2016	III	1.702
2016	III	1.827
2016	III	1.337
2016	III	1.456
2016	III	1.721
2016	III	1.696
2016	III	1.73
2016	III	1.478
2016	III	1.459
2016	IV	2.412
2016	III	1.302
2016	III	1.522
2016	III	1.661
2016	III	1.614
2016	III	1.787
2016	III	1.534
2016	III	1.409
2016	III	1.672
2016	III	1.52
2016	III	1.588
2016	III	1.394
2016	III	1.702
2016	III	1.486
2016	III	1.385
2016	IV	2.968
2016	III	1.368
2016	II	1.047
2016	III	1.326
2016	III	1.342
2016	III	1.813
2016	III	1.981
2016	III	1.749
2016	III	1.446
2016	III	1.724
2016	III	1.734
2016	III	1.353
2016	III	1.55
2016	III	1.807
2016	II	0.98
2016	II	1.265
2016	III	1.553
2016	III	1.442
2016	III	1.257
2016	III	1.458
2016	III	1.504
2016	III	1.774
2016	III	1.6
2016	III	1.738
2016	III	1.481
2016	III	1.252
2016	III	1.817
2016	III	1.501
2016	III	1.592
2016	III	2.056
2016	III	1.18
2016	III	1.351
2016	III	1.65
2016	III	1.364
2016	IV	2.643
2016	III	1.744
2016	III	1.531
2016	III	1.631
2016	III	1.585
2016	III	1.967
2016	III	1.74
2016	III	1.582
2016	III	1.868
2016	III	1.528
2016	III	1.569
2016	III	1.491
2016	III	1.598
2016	III	1.615
2016	III	2.058
2016	III	1.447
2016	III	1.395
2016	III	1.263
2016	III	1.397
2016	III	1.559
2016	III	2.385
2016	III	1.702
2016	III	1.618
2016	III	1.354
2016	III	1.565
2016	III	1.784
2016	III	1.57
2016	III	1.718
2016	III	1.518
2016	III	1.295
2016	III	1.484
2016	III	1.109
2016	III	1.615
2016	III	1.344
2016	III	1.468
2016	III	1.344
2016	II	1.196
2016	III	1.95
2016	III	1.988
2016	III	1.739
2016	III	1.536
2016	III	2.534
2016	III	1.629
2016	III	1.97
2016	III	2.791
2016	III	1.733
2016	III	2.054
2016	III	2.73
2016	III	1.814
2016	II	1.032
2016	III	1.931
2016	III	1.365
2016	III	1.99
2016	III	1.489
2016	III	1.778
2016	III	1.782
2016	III	1.408
2016	III	1.946
2016	III	1.912
2016	III	1.739
2016	III	1.786
2016	IV	2.801
2016	IV	2.649
2016	IV	3.155
2016	III	1.675
2016	III	1.557
2016	III	1.927
2016	III	2.04
2016	II	0.811
2016	II	0.869
2016	II	1.252
2016	IV	3.246
2016	III	2.124
2016	III	1.924
2016	III	1.958
2016	III	1.857
2016	III	1.362
2016	III	1.717
2016	IV	3.167
2016	IV	2.983
2016	II	1.159
2016	III	1.952
2016	III	2.087
2016	III	1.433
2016	II	1.157
2016	IV	2.505
2016	III	1.354
2016	III	1.715
2016	III	2.172
2016	III	1.643
2016	IV	2.408
2016	IV	2.541
2016	III	1.505
2016	III	1.35
2016	III	1.628
2016	III	1.631
2016	III	1.849
2016	III	1.69
2016	III	1.83
2016	III	1.381
2016	II	1.075
2016	IV	2.464
2016	III	1.301
2016	III	1.244
2016	II	1.051
2016	II	0.921
2016	II	1.158
2016	III	1.714
2016	III	1.819
2016	III	1.654
2016	II	1.169
2016	III	2.016
2016	III	1.543
2016	III	1.697
2016	III	1.611
2016	III	2.019
2016	II	0.97
2016	III	1.692
2016	III	1.827
2016	III	1.574
2016	III	1.943
2016	III	1.598
2016	III	1.844
2016	III	1.888
2016	III	1.744
2016	III	1.393
2016	III	1.67
2016	III	1.702
2016	III	1.739
2016	III	1.791
2016	III	1.813
2016	III	1.682
2016	III	1.708
2016	III	1.686
2016	III	1.366
2016	III	1.641
2016	III	1.85
2016	III	1.544
2016	III	1.836
2016	III	1.755
2016	III	2.133
2016	III	2.112
2016	III	1.66
2016	III	2.119
2016	III	1.989
2016	III	1.875
2016	III	1.608
2016	III	1.619
2016	III	1.69
2016	III	1.467
2016	II	1.181
2016	III	2.28
2016	IV	3.23
2016	III	1.953
2016	III	1.235
2016	IV	2.22
2016	IV	2.971
2016	II	1.128
2016	II	1.375
2016	III	1.582
2016	III	1.933
2016	III	1.621
2016	III	1.707
2016	III	2.237
2016	III	1.879
2016	III	1.648
2016	III	1.838
2016	III	2.094
2016	III	1.572
2016	III	1.526
2016	III	1.663
2016	III	1.617
2016	II	1.344
2016	IV	2.424
2016	III	1.714
2016	II	1.38
2016	II	1.092
2016	II	1.248
2016	II	1.13
2016	III	1.569
2016	III	1.806
2016	II	1.381
2016	II	1.225
2016	II	1.113
2016	II	1.106
2016	III	1.719
2016	II	1.224
2016	II	1.011
2016	II	1.063
2016	III	1.583
2016	II	0.979
2016	II	1.052
2016	III	1.833
2016	III	1.636
2016	IV	3.601
2016	II	0.933
2016	II	0.773
2016	II	0.951
2016	II	0.877
2016	II	0.804
2016	II	1.023
2016	III	2.577
2016	III	1.461
2016	III	1.52
2016	III	1.522
2016	III	1.702
2016	I	0.692
2016	I	0.722
2016	II	1.407
2016	I	0.561
2016	II	1.13
2016	I	0.894
2016	II	1.032
2016	II	0.99
2016	I	0.653
2016	II	0.82
2016	II	0.83
2016	I	0.439
2016	II	0.918
2016	II	1.057
2016	II	0.853
2016	III	1.897
2016	III	1.257
2016	III	1.699
2016	I	0.534
2016	III	1.48
2016	III	1.247
2016	II	0.94
2016	II	0.995
2016	I	0.544
2016	III	1.68
2016	I	0.481
2016	II	1.057
2016	II	1.02
2016	II	0.841
2016	II	0.903
2016	II	1.093
2016	III	1.831
2016	III	1.432
2016	III	1.428
2016	III	1.317
2016	III	1.495
2016	III	1.488
2016	III	1.552
2016	III	1.687
2016	III	1.302
2016	III	1.913
2016	II	1.107
2016	II	1.043
2016	II	0.909
2016	II	0.758
2016	II	0.964
2016	II	0.921
2016	II	1.163
2016	II	0.99
2016	II	1.087
2016	I	0.443
2016	III	1.349
2016	III	1.582
2016	III	1.379
2016	III	1.385
2016	III	1.276
2016	II	0.971
2016	II	1.192
2016	I	0.538
2016	III	1.354
2016	I	0.667
2016	III	1.324
2016	III	1.211
2016	III	1.05
2016	I	0.778
2016	I	0.847
2016	III	1.336
2016	II	0.99
2016	II	1.038
2016	I	0.645
2016	III	1.369
2016	III	1.268
2016	III	1.485
2016	I	0.519
2016	I	0.577
2016	II	0.983
2016	II	0.971
2016	II	0.936
2016	III	1.498
2016	III	1.319
2016	III	1.376
2016	III	1.303
2016	III	1.232
2016	III	1.182
2016	II	0.945
2016	II	0.954
2016	I	0.648
2016	III	1.159
2016	III	1.331
2016	II	0.809
2016	II	0.858
2016	II	0.896
2016	II	0.969
2016	III	1.587
2016	III	1.533
2016	II	1.004
2016	II	1.25
2016	II	0.817
2016	II	0.958
2016	III	1.483
2016	II	0.944
2016	II	1.121
2016	III	1.666
2016	IV	2.193
2016	II	1.181
2016	II	0.925
2016	III	1.577
2016	II	0.945
2016	II	0.941
2016	II	1.024
2016	II	1.068
2016	II	1.225
2016	II	0.984
2016	II	1.053
2016	III	1.934
2016	III	1.237
2016	II	1.049
2016	II	1.128
2016	I	0.702
2016	II	1.004
2016	II	1.001
2016	II	1.077
2016	II	1.033
2016	II	1.001
2016	II	1.125
2016	II	1.217
2016	I	0.709
2016	II	1.114
2016	II	1.031
2016	III	1.793
2016	II	0.901
2016	III	2.06
2016	II	0.886
2016	III	1.069
2016	II	0.954
2016	I	0.688
2016	I	0.632
2016	IV	4.433
2016	I	0.595
2016	I	0.695
2016	IV	2.488
2016	III	2.093
2016	I	0.641
2016	II	1.094
2016	I	0.776
2016	I	0.647
2016	I	0.839
2016	I	0.633
2016	I	0.698
2016	II	1.164
2016	II	1.019
2016	I	0.905
2016	II	1.178
2016	I	0.71
2016	I	0.703
2016	II	0.914
2016	II	0.845
2016	III	1.795
2016	I	0.865
2016	I	0.9
2016	I	0.9
2016	I	0.781
2016	I	0.692
2016	I	0.745
2016	I	0.798
2016	II	1.112
2016	II	1.072
2016	II	1.014
2016	II	1.016
2016	III	1.261
2016	III	1.393
2016	II	1.063
2016	III	1.514
2016	III	1.324
2016	III	1.558
2016	I	0.756
2016	I	0.896
2016	I	0.706
2016	III	1.237
2016	II	1.022
2016	II	1.159
2016	II	1.159
2016	I	0.737
2016	I	0.971
2016	I	0.775
2016	II	1.12
2016	II	0.875
2016	II	1.017
2016	II	0.842
2016	I	0.647
2016	I	0.73
2016	I	0.562
2016	I	0.564
2016	I	0.736
2016	I	0.776
2016	I	0.647
2016	I	0.739
2016	II	1.152
2016	II	1.028
2016	II	1.178
2016	II	1.084
2016	I	0.603
2016	I	0.71
