stage	measurement	size_mm
III	cdd_preserved	2.016
II	cdd_preserved	1.264
II	cdd_preserved	1.164
II	cdd_preserved	0.998
III	cdd_preserved	1.78
I	cdd_preserved	0.746
III	cdd_preserved	1.684
II	cdd_preserved	1.068
II	cdd_preserved	1.137
II	cdd_preserved	1.26
III	cdd_preserved	1.569
III	cdd_preserved	1.511
II	cdd_preserved	1.048
III	cdd_preserved	2.077
III	cdd_preserved	2.125
III	cdd_preserved	1.875
III	cdd_preserved	1.605
III	cdd_preserved	1.933
III	cdd_preserved	1.983
III	cdd_preserved	2.194
III	cdd_preserved	2.171
III	cdd_preserved	1.632
III	cdd_preserved	1.905
III	cdd_preserved	1.742
III	cdd_preserved	1.933
II	cdd_preserved	1.285
II	cdd_preserved	1.237
III	cdd_preserved	2.08
III	cdd_preserved	2.371
II	cdd_preserved	1.337
III	cdd_preserved	1.703
II	cdd_preserved	1.202
II	cdd_preserved	1.121
III	cdd_preserved	2.181
II	cdd_preserved	1.021
III	cdd_preserved	1.549
III	cdd_preserved	1.826
III	cdd_preserved	1.704
III	cdd_preserved	1.753
II	cdd_preserved	1.115
I	cdd_preserved	0.787
III	cdd_preserved	1.659
II	cdd_preserved	1.219
II	cdd_preserved	1.346
III	cdd_preserved	2.156
III	cdd_preserved	2.615
III	cdd_preserved	2.159
III	cdd_preserved	1.698
II	cdd_preserved	0.98
III	cdd_preserved	1.842
II	cdd_preserved	1.311
III	cdd_preserved	1.519
III	cdd_preserved	1.789
III	cdd_preserved	1.678
III	cdd_preserved	1.478
III	cdd_preserved	1.817
III	cdd_preserved	2.109
II	cdd_preserved	1.033
II	cdd_preserved	1.263
II	cdd_preserved	1.164
II	cdd_preserved	1.273
III	cdd_preserved	1.794
III	cdd_preserved	1.56
I	cdd_preserved	0.833
III	cdd_preserved	1.599
III	cdd_preserved	1.721
II	cdd_preserved	1.224
II	cdd_preserved	1.146
II	cdd_preserved	1.2
III	cdd_preserved	2.032
III	cdd_preserved	2.122
III	cdd_preserved	1.602
II	cdd_preserved	1.226
III	cdd_preserved	1.668
II	cdd_preserved	1.158
III	cdd_preserved	1.855
II	cdd_preserved	1.184
II	cdd_preserved	1.279
II	cdd_preserved	1.115
III	cdd_preserved	1.558
II	cdd_preserved	1.021
III	cdd_preserved	1.751
I	cdd_preserved	0.86
II	cdd_preserved	1.072
II	cdd_preserved	1.26
II	cdd_preserved	1.02
III	cdd_preserved	2.869
III	cdd_preserved	1.518
III	cdd_preserved	1.724
II	cdd_preserved	0.958
III	cdd_preserved	1.543
III	cdd_preserved	1.749
II	cdd_preserved	1.034
III	cdd_preserved	1.59
II	cdd_preserved	1.237
III	cdd_preserved	1.828
III	cdd_preserved	1.531
II	cdd_preserved	1.11
III	cdd_preserved	2.297
II	cdd_preserved	1.223
III	cdd_preserved	1.719
II	cdd_preserved	1.18
II	cdd_preserved	1.185
III	cdd_preserved	1.725
II	cdd_preserved	1.06
II	cdd_preserved	1.246
II	cdd_preserved	1.291
III	cdd_preserved	1.602
III	cdd_preserved	1.566
III	cdd_preserved	1.42
II	cdd_preserved	1.08
III	cdd_preserved	1.482
II	cdd_preserved	1.326
II	cdd_preserved	1.191
II	cdd_preserved	1.205
II	cdd_preserved	1.117
II	cdd_preserved	1.222
II	cdd_preserved	1.097
III	cdd_preserved	1.633
II	cdd_preserved	1.263
II	cdd_preserved	1.054
III	cdd_preserved	1.867
I	cdd_preserved	0.872
III	cdd_preserved	1.529
II	cdd_preserved	1.121
II	cdd_preserved	1.109
II	cdd_preserved	1.198
II	cdd_preserved	0.956
III	cdd_preserved	1.754
III	cdd_preserved	1.746
III	cdd_preserved	1.743
III	cdd_preserved	1.597
II	cdd_preserved	1.092
II	cdd_preserved	1.125
III	cdd_preserved	1.747
III	cdd_preserved	1.809
III	cdd_preserved	1.661
II	cdd_preserved	1.062
III	cdd_preserved	1.749
II	cdd_preserved	1.118
III	cdd_preserved	1.942
III	cdd_preserved	2.004
II	cdd_preserved	1.025
II	cdd_preserved	1.206
II	cdd_preserved	1.027
II	cdd_preserved	1.242
II	cdd_preserved	1.245
III	cdd_preserved	1.648
III	cdd_preserved	1.892
I	cdd_preserved	0.893
II	cdd_preserved	1.162
III	cdd_preserved	1.479
II	cdd_preserved	1.03
III	cdd_preserved	1.848
I	cdd_preserved	0.841
I	cdd_preserved	0.965
II	cdd_preserved	1.092
II	cdd_preserved	1.141
III	cdd_preserved	1.925
III	cdd_preserved	1.668
III	cdd_preserved	1.852
II	cdd_preserved	1.202
III	cdd_preserved	1.834
III	cdd_preserved	1.516
III	cdd_preserved	1.423
III	cdd_preserved	1.515
III	cdd_preserved	1.812
II	cdd_preserved	1.046
III	cdd_preserved	1.513
III	cdd_preserved	1.62
II	cdd_preserved	1.108
II	cdd_preserved	1.12
II	cdd_preserved	1.165
II	cdd_preserved	1.256
II	cdd_preserved	1.068
II	cdd_preserved	1.109
II	cdd_preserved	1.146
III	cdd_preserved	1.617
I	cdd_preserved	0.802
II	cdd_preserved	1.125
III	cdd_preserved	1.82
III	cdd_preserved	1.652
II	cdd_preserved	1.13
III	cdd_preserved	1.597
III	cdd_preserved	1.724
III	cdd_preserved	1.867
II	cdd_preserved	1.221
I	cdd_preserved	0.845
III	cdd_preserved	1.868
III	cdd_preserved	1.731
III	cdd_preserved	1.527
III	cdd_preserved	1.776
II	cdd_preserved	1.294
I	cdd_preserved	0.87
III	cdd_preserved	1.691
II	cdd_preserved	1.138
II	cdd_preserved	1.139
II	cdd_preserved	1.056
III	cdd_preserved	1.69
I	cdd_preserved	0.968
I	cdd_preserved	0.921
II	cdd_preserved	1.151
II	cdd_preserved	1.087
II	cdd_preserved	1.17
II	cdd_preserved	1.128
II	cdd_preserved	1.114
II	cdd_preserved	1.083
III	cdd_preserved	1.964
III	cdd_preserved	1.639
III	cdd_preserved	2.34
III	cdd_preserved	2.185
III	cdd_preserved	2.145
III	cdd_preserved	2.044
III	cdd_preserved	1.902
III	cdd_preserved	1.863
III	cdd_preserved	1.704
II	cdd_preserved	1.339
III	cdd_preserved	1.862
III	cdd_preserved	1.838
III	cdd_preserved	1.655
III	cdd_preserved	1.654
III	cdd_preserved	1.563
III	cdd_preserved	1.933
III	cdd_preserved	1.503
III	cdd_preserved	1.725
II	cdd_preserved	1.203
II	cdd_preserved	1.233
III	cdd_preserved	2.193
III	cdd_preserved	1.872
III	cdd_preserved	1.999
III	cdd_preserved	2.153
III	cdd_preserved	1.803
III	cdd_preserved	1.836
III	cdd_preserved	1.874
III	cdd_preserved	2.084
III	cdd_preserved	1.672
III	cdd_preserved	1.821
III	cdd_preserved	1.67
III	cdd_preserved	1.575
III	cdd_preserved	1.746
III	cdd_preserved	1.682
III	cdd_preserved	1.994
III	cdd_preserved	1.506
III	cdd_preserved	1.72
III	cdd_preserved	1.866
III	cdd_preserved	1.67
III	cdd_preserved	1.663
III	cdd_preserved	2.493
III	cdd_preserved	1.738
III	cdd_preserved	1.571
III	cdd_preserved	1.938
III	cdd_preserved	1.544
III	cdd_preserved	1.66
III	cdd_preserved	1.697
II	cdd_preserved	1.183
II	cdd_preserved	1.285
II	cdd_preserved	1.32
III	cdd_preserved	1.638
III	cdd_preserved	1.584
II	cdd_preserved	1.366
II	cdd_preserved	1.243
III	cdd_preserved	1.973
III	cdd_preserved	1.626
III	cdd_preserved	1.77
III	cdd_preserved	2.086
III	cdd_preserved	1.938
III	cdd_preserved	1.608
II	cdd_preserved	1.097
III	cdd_preserved	1.719
III	cdd_preserved	2.044
III	cdd_preserved	1.713
II	cdd_preserved	1.397
II	cdd_preserved	1.255
III	cdd_preserved	2.098
II	cdd_preserved	1.279
II	cdd_preserved	1.338
II	cdd_preserved	1.282
II	cdd_preserved	1.191
III	cdd_preserved	1.717
III	cdd_preserved	1.737
II	cdd_preserved	1.227
II	cdd_preserved	1.355
II	cdd_preserved	1.13
III	cdd_preserved	1.598
III	cdd_preserved	2.177
III	cdd_preserved	1.607
III	cdd_preserved	1.915
III	cdd_preserved	1.878
III	cdd_preserved	1.776
III	cdd_preserved	1.607
III	cdd_preserved	1.631
III	cdd_preserved	1.649
III	cdd_preserved	1.553
III	cdd_preserved	1.782
II	cdd_preserved	1.109
II	cdd_preserved	1.371
III	cdd_preserved	1.85
III	cdd_preserved	1.804
II	cdd_preserved	1.132
II	cdd_preserved	1.108
III	cdd_preserved	1.636
II	cdd_preserved	1.396
II	cdd_preserved	1.164
III	cdd_preserved	1.889
III	cdd_preserved	1.567
III	cdd_preserved	1.79
III	cdd_preserved	2.026
III	cdd_preserved	1.511
III	cdd_preserved	1.799
III	cdd_preserved	1.691
III	cdd_preserved	1.626
III	cdd_preserved	1.622
III	cdd_preserved	1.675
II	cdd_preserved	1.232
II	cdd_preserved	1.138
III	cdd_preserved	1.629
III	cdd_preserved	1.745
III	cdd_preserved	1.394
III	cdd_preserved	1.796
III	cdd_preserved	1.92
III	cdd_preserved	1.493
III	cdd_preserved	1.649
III	cdd_preserved	1.573
III	cdd_preserved	1.91
III	cdd_preserved	1.615
III	cdd_preserved	1.758
II	cdd_preserved	1.337
II	cdd_preserved	1.237
II	cdd_preserved	1.282
II	cdd_preserved	1.291
II	cdd_preserved	1.276
II	cdd_preserved	1.161
II	cdd_preserved	1.336
II	cdd_preserved	1.262
II	cdd_preserved	1.225
III	cdd_preserved	1.844
III	cdd_preserved	1.987
III	cdd_preserved	1.539
III	cdd_preserved	1.639
III	cdd_preserved	1.587
III	cdd_preserved	1.809
III	cdd_preserved	1.587
III	cdd_preserved	1.686
III	cdd_preserved	1.645
III	cdd_preserved	1.114
III	cdd_preserved	1.636
III	cdd_preserved	1.87
III	cdd_preserved	1.588
III	cdd_preserved	1.75
III	cdd_preserved	1.62
III	cdd_preserved	1.662
II	cdd_preserved	1.165
II	cdd_preserved	1.333
III	cdd_preserved	1.715
III	cdd_preserved	1.666
III	cdd_preserved	1.647
III	cdd_preserved	1.603
III	cdd_preserved	1.931
III	cdd_preserved	1.576
II	cdd_preserved	1.315
II	cdd_preserved	1.386
II	cdd_preserved	1.178
III	cdd_preserved	1.986
III	cdd_preserved	1.682
III	cdd_preserved	1.911
II	cdd_preserved	1.286
III	cdd_preserved	1.804
III	cdd_preserved	1.625
II	cdd_preserved	1.237
II	cdd_preserved	1.197
II	cdd_preserved	1.282
II	cdd_preserved	1.291
II	cdd_preserved	1.276
II	cdd_preserved	1.161
II	cdd_preserved	1.398
II	cdd_preserved	1.362
III	cdd_preserved	1.539
III	cdd_preserved	1.793
II	cdd_preserved	1.128
II	cdd_preserved	1.195
II	cdd_preserved	1.288
III	cdd_preserved	1.739
III	cdd_preserved	2.15
III	cdd_preserved	2.185
III	cdd_preserved	1.845
III	cdd_preserved	2.044
III	cdd_preserved	1.902
III	cdd_preserved	1.863
III	cdd_preserved	1.704
II	cdd_preserved	1.339
III	cdd_preserved	1.862
III	cdd_preserved	1.838
III	cdd_preserved	1.655
III	cdd_preserved	1.654
III	cdd_preserved	1.563
III	cdd_preserved	1.633
III	cdd_preserved	1.503
III	cdd_preserved	1.725
II	cdd_preserved	1.203
II	cdd_preserved	1.233
II	cdd_preserved	1.228
III	cdd_preserved	1.677
III	cdd_preserved	1.923
III	cdd_preserved	2.153
III	cdd_preserved	1.803
III	cdd_preserved	1.836
III	cdd_preserved	1.874
III	cdd_preserved	2.084
III	cdd_preserved	1.672
III	cdd_preserved	1.864
III	cdd_preserved	1.67
III	cdd_preserved	1.575
III	cdd_preserved	1.746
III	cdd_preserved	1.682
II	cdd_preserved	1.356
II	cdd_preserved	1.401
II	cdd_preserved	1.251
III	cdd_preserved	2.192
IV	cdd_preserved	2.987
II	cdd_preserved	1.248
II	cdd_preserved	1.04
III	cdd_preserved	1.57
III	cdd_preserved	2.16
III	cdd_preserved	2
IV	cdd_preserved	3.617
III	cdd_preserved	1.624
III	cdd_preserved	2.008
II	cdd_preserved	1.325
III	cdd_preserved	2.283
III	cdd_preserved	1.855
III	cdd_preserved	2.608
IV	cdd_preserved	3.183
III	cdd_preserved	1.892
II	cdd_preserved	1.15
III	cdd_preserved	2.017
I	cdd_preserved	0.973
II	cdd_preserved	1.067
III	cdd_preserved	1.664
III	cdd_preserved	1.792
III	cdd_preserved	1.425
III	cdd_preserved	1.933
III	cdd_preserved	1.638
III	cdd_preserved	1.558
II	cdd_preserved	1.188
II	cdd_preserved	1.134
I	cdd_preserved	0.926
II	cdd_preserved	1.258
I	cdd_preserved	0.987
II	cdd_preserved	1.275
II	cdd_preserved	1.317
III	cdd_preserved	2.1
I	cdd_preserved	0.596
III	cdd_preserved	1.692
III	cdd_preserved	1.584
II	cdd_preserved	1.107
I	cdd_preserved	0.933
III	cdd_preserved	1.51
III	cdd_preserved	1.497
II	cdd_preserved	1.179
II	cdd_preserved	1.215
III	cdd_preserved	1.51
III	cdd_preserved	1.891
III	cdd_preserved	1.575
III	cdd_preserved	2.008
II	cdd_preserved	1.141
III	cdd_preserved	2.367
III	cdd_preserved	2.983
III	cdd_preserved	2.108
III	cdd_preserved	1.673
III	cdd_preserved	1.843
III	cdd_preserved	2.272
I	cdd_preserved	0.852
I	cdd_preserved	0.762
II	cdd_preserved	1.125
II	cdd_preserved	1.365
II	cdd_preserved	1.371
III	cdd_preserved	1.675
III	cdd_preserved	2.342
II	cdd_preserved	1.323
II	cdd_preserved	1.218
III	cdd_preserved	1.664
III	cdd_preserved	1.792
III	cdd_preserved	1.425
III	cdd_preserved	1.933
I	cdd_preserved	0.91
III	cdd_preserved	1.558
III	cdd_preserved	1.638
III	cdd_preserved	1.777
III	cdd_preserved	1.812
II	cdd_preserved	1.248
II	cdd_preserved	1.045
